"NOME_CANDIDATO","NOME_URNA_CANDIDATO","COD_GRAU_INSTRUCAO","CODIGO_ESTADO_CIVIL"
"AMERICO MAIA PEREIRA RODRIGUES","AMÉRICO MAIA",6,1
"ANTONIO ALBERTO MACHADO MAGALHAES","ANTONIO MAGALHAES",8,1
"ANTONIO CARLOS FREIRE PINHEIRO","NENO PINHEIRO",7,1
"ANTONIO CARLOS SOUZA MOTA","ANTONIO C. MOTA",6,1
"ANTONIO FERNANDO XAVIER DOS SANTOS","ARANHA",7,1
"ANTONIO HENRIQUE DE AGUIAR CARDOSO","HENRIQUE AGUIAR",8,1
"ANTONIO JOSE PICOLE DE OLIVEIRA","PICOLÉ",8,1
"ANTONIO JOSE CARNEIRO LOPES","BUBU PÉ DE SERRA",7,1
"ANTONIA MAGALHAES DA CRUZ","TONHA MAGALHÃES",6,1
"ANTONIO CARLOS PEIXOTO DE MAGALHAES NETO","ACM NETO",8,1
"ARNALDO ANTONIO FERNANDEZ","ARNALDO FERNANDEZ",6,1
"ARNALDO DE SANTANA NEVES","ARNALDO SANTANA NEVES",7,1
"AROLDO CEDRAZ DE OLIVEIRA","AROLDO CEDRAZ",8,1
"ARQUIMEDES GOMES DOS SANTOS","ARQUIMEDES SANTOS",8,1
"BASILIO ANDARAHY DOS SANTOS","IRMÃO BASILIO",4,1
"BENITO DA GAMA SANTOS","BENITO GAMA",8,1
"BRAULIO MENDONCA CARDOSO","BRAULIO CARDOSO",6,1
"CARLITO FERREIRA PEREIRA DOS SANTOS","CARLITO FERREIRA",7,1
"CARLOS HENRIQUE ALVES MARTINEZ","PROF. DR. MARTINEZ",8,1
"CLAUDIA MARIA MARTINS DA SILVA","CLAUDIA MARIA",8,1
"CLAUDIO CAJADO SAMPAIO","CLAUDIO CAJADO",8,1
"CLAUDIO FIDEL MAXIMO MOREIRA","CLAUDIO FIDEL",8,1
"COLBERT MARTINS DA SILVA FILHO","COLBERT MARTINS",8,1
"CRISTIANE ALMEIDA SANTOS","CRISTIANE SANTOS",6,1
"CASSIO SANTOS MACHADO","CÁSSIO MACHADO",8,1
"DANIEL GOMES DE ALMEIDA","DANIEL",6,1
"DILTON GOIS DOS SANTOS","DILTON GOIS",4,1
"DJALMA DOS SANTOS GOMES","DJALMA GOMES",8,1
"DOMINGOS EVANGELISTA DOS SANTOS","DOMINGOS EVANGELISTA",6,1
"DOMINGOS PEREIRA DA SILVA","DOMINGOS PEREIRA",7,1
"EDELTONIO LIBERATO DOS SANTOS","LIBERATO",8,1
"EDIGAR EVANGELISTA DOS ANJOS","EDIGAR MÃO BRANCA",3,1
"EDIVALDO PINTO DE SOUZA","EDIVALDO PINTO",6,1
"EDSON JORGE NEMI","EDSON NEMI",8,1
"EDSON LUIZ RAMOS DANTAS","EDSON DANTAS",8,1
"EDSON PEREIRA DE OLIVEIRA","EDSON PEREIRA OLIVEIRA",8,1
"EDVALDO JOSE ABREU","EDVALDO ABREU",6,1
"ELIAS MATHIAS DOS SANTOS","ELIAS BRANCO",4,1
"ELIONALDO DE FARO TELES","ELIONALDO",8,1
"EMILIANO JOSE DA SILVA FILHO","EMILIANO JOSE",8,1
"ERIVELTON LIMA SANTANA","ERIVELTON SANTANA",7,1
"ETELVINO DIONISIO BISPO NETO","ETELVINO NETO",6,1
"EUJACIO SIMOES VIANA FILHO","EUJACIO",8,1
"EXPEDITO DA SILVA BARBOSA","PROFº EXPEDITO",8,1
"FELIX DE ALMEIDA MENDONCA","FELIX MENDONÇA",8,1
"FERNANDO LUCIO CARNEIRO","FERNANDO CARNEIRO",8,1
"FRANCISCO GONCALVES ALMEIDA","FRANCISCO IRMÃO",6,1
"FABIO LOUREIRO SOUTO","FÁBIO SOUTO",8,1
"FELIX DE ALMEIDA MENDONCA JUNIOR","FÉLIX JUNIOR",8,1
"GEDDEL QUADROS VIEIRA LIMA","GEDDEL",8,1
"GENIVALDO SANTOS MELO","GENI MELO",6,1
"GERALDO JOSE PIRES","GERALDO PIRES",6,1
"GERALDO SIMOES DE OLIVEIRA","GERALDO SIMOES",8,1
"GERSON SILVA GABRIELLI","GABRIELLI",8,1
"GILDASIO MENDES DE ANDRADE","GILDASIO ANDRADE",8,1
"GILDSON GOMES DOS SANTOS","ADVOGADO GOMES",8,1
"GILZETE DA SILVA MOREIRA","GILZETE",6,1
"GUILHERME MENEZES DE ANDRADE","GUILHERME MENEZES",8,1
"HANS GUERRIERI SCHLEIER","HANS",7,1
"IVO DOURADO DA MOTA","IVO DOURADO",6,1
"JAIR CARDOSO DOS SANTOS","JAIR CARDOSO",8,1
"JAIRO ALFREDO OLIVEIRA CARNEIRO","JAIRO CARNEIRO",8,1
"JAIRO ALVES LIMA","JAIRO LIMA",6,1
"JEANE ALVES CRUZ MORAIS","PROFESSORA JEANE",8,1
"JOAQUIM APOLINARIO DE SOUSA","JOAQUIM APOLINARIO",6,1
"JOAQUIM QUINTILIANO DA FONSECA JUNIOR","JOAQUIM FONSECA",8,1
"JONIVAL LUCAS DA SILVA JUNIOR","JONIVAL LUCAS",8,1
"JORGE EDUARDO DE SCHOUCAIR JAMBEIRO","JORGE JAMBEIRO",8,1
